metric,n,median,q1,q3,min,max
pdr_percent,5,98.817492,96.626211,98.953812,93.786127,99.587652
min_flow_pdr_percent,5,97.906925,94.83871,98.013836,93.284412,99.265033
mean_delay_ms,5,25.128857,6.112113,26.87975,6.07974,44.356759
delay_p50_ms,5,6.0,6.0,6.0,6.0,8.0
delay_p95_ms,5,9.0,7.0,16.0,6.0,17.0
goodput_kbps,5,403.137422,394.945422,404.639289,383.977244,406.687289
olsr_control_packets,5,1158.0,1157.0,1158.0,1155.0,1196.0
olsr_control_bytes,5,85640.0,84408.0,87052.0,83832.0,87656.0
normalized_overhead_bytes_per_delivered_payload_byte,5,0.019275,0.019027,0.019328,0.018542,0.019407
next_hop_changes,5,12.0,10.0,12.0,5.0,13.0
route_unavailable_samples,5,0.0,0.0,0.0,0.0,0.0
