scenario,run,metric,adaptive_minus_baseline
A,101,pdr_percent,0.0
A,101,min_flow_pdr_percent,0.0
A,101,delay_p50_ms,0.0
A,101,delay_p95_ms,0.0
A,101,goodput_kbps,0.0
A,101,normalized_overhead,0.0
A,101,recovery_seconds,0.0
A,101,next_hop_changes,0.0
A,101,route_unavailable_samples,0.0
A,101,signal_transitions,0.0
A,101,failure_transitions,0.0
A,101,recoveries,0.0
A,102,pdr_percent,0.0
A,102,min_flow_pdr_percent,0.0
A,102,delay_p50_ms,0.0
A,102,delay_p95_ms,0.0
A,102,goodput_kbps,0.0
A,102,normalized_overhead,0.0
A,102,recovery_seconds,0.0
A,102,next_hop_changes,0.0
A,102,route_unavailable_samples,0.0
A,102,signal_transitions,0.0
A,102,failure_transitions,0.0
A,102,recoveries,0.0
A,103,pdr_percent,0.0
A,103,min_flow_pdr_percent,0.0
A,103,delay_p50_ms,0.0
A,103,delay_p95_ms,0.0
A,103,goodput_kbps,0.0
A,103,normalized_overhead,0.0
A,103,recovery_seconds,0.0
A,103,next_hop_changes,0.0
A,103,route_unavailable_samples,0.0
A,103,signal_transitions,0.0
A,103,failure_transitions,0.0
A,103,recoveries,0.0
A,104,pdr_percent,0.0
A,104,min_flow_pdr_percent,0.0
A,104,delay_p50_ms,0.0
A,104,delay_p95_ms,0.0
A,104,goodput_kbps,0.0
A,104,normalized_overhead,0.0
A,104,recovery_seconds,0.0
A,104,next_hop_changes,0.0
A,104,route_unavailable_samples,0.0
A,104,signal_transitions,0.0
A,104,failure_transitions,0.0
A,104,recoveries,0.0
A,105,pdr_percent,0.0
A,105,min_flow_pdr_percent,0.0
A,105,delay_p50_ms,0.0
A,105,delay_p95_ms,0.0
A,105,goodput_kbps,0.0
A,105,normalized_overhead,0.0
A,105,recovery_seconds,0.0
A,105,next_hop_changes,0.0
A,105,route_unavailable_samples,0.0
A,105,signal_transitions,0.0
A,105,failure_transitions,0.0
A,105,recoveries,0.0
A,106,pdr_percent,0.0
A,106,min_flow_pdr_percent,0.0
A,106,delay_p50_ms,0.0
A,106,delay_p95_ms,0.0
A,106,goodput_kbps,0.0
A,106,normalized_overhead,0.0
A,106,recovery_seconds,0.0
A,106,next_hop_changes,0.0
A,106,route_unavailable_samples,0.0
A,106,signal_transitions,0.0
A,106,failure_transitions,0.0
A,106,recoveries,0.0
A,107,pdr_percent,0.0
A,107,min_flow_pdr_percent,0.0
A,107,delay_p50_ms,0.0
A,107,delay_p95_ms,0.0
A,107,goodput_kbps,0.0
A,107,normalized_overhead,0.0
A,107,recovery_seconds,0.0
A,107,next_hop_changes,0.0
A,107,route_unavailable_samples,0.0
A,107,signal_transitions,0.0
