scenario,mechanism,metric,n,median,q1,q3,min,max
A,baseline,pdr_percent,20,100.0,99.84114925,100.0,97.576431,100.0
A,baseline,min_flow_pdr_percent,20,100.0,99.69856275000001,100.0,95.663776,100.0
A,baseline,delay_p50_ms,20,2.0,2.0,2.0,2.0,9.0
A,baseline,delay_p95_ms,20,2.0,2.0,2.0,2.0,21.0
A,baseline,goodput_kbps,20,408.25742249999996,407.15377775,408.6215115,391.5776,409.281422
A,baseline,normalized_overhead,20,0.017394,0.01715475,0.0175215,0.017032,0.018132
A,baseline,recovery_seconds,20,-1.0,-1.0,-1.0,-1.0,-1.0
A,baseline,next_hop_changes,20,1.0,0.0,4.0,0.0,8.0
A,baseline,route_unavailable_samples,20,0.0,0.0,0.0,0.0,15.0
A,baseline,signal_transitions,20,0.0,0.0,0.0,0.0,0.0
A,baseline,failure_transitions,20,0.0,0.0,0.0,0.0,0.0
A,baseline,recoveries,20,0.0,0.0,0.0,0.0,0.0
A,adaptive,pdr_percent,20,100.0,99.84114925,100.0,97.576431,100.0
A,adaptive,min_flow_pdr_percent,20,100.0,99.69856275000001,100.0,95.663776,100.0
A,adaptive,delay_p50_ms,20,2.0,2.0,2.0,2.0,9.0
A,adaptive,delay_p95_ms,20,2.0,2.0,2.0,2.0,21.0
A,adaptive,goodput_kbps,20,408.25742249999996,407.15377775,408.6215115,391.5776,409.281422
A,adaptive,normalized_overhead,20,0.017394,0.01715475,0.0175215,0.017032,0.018132
A,adaptive,recovery_seconds,20,-1.0,-1.0,-1.0,-1.0,-1.0
A,adaptive,next_hop_changes,20,1.0,0.0,4.0,0.0,8.0
A,adaptive,route_unavailable_samples,20,0.0,0.0,0.0,0.0,15.0
A,adaptive,signal_transitions,20,0.0,0.0,0.0,0.0,0.0
A,adaptive,failure_transitions,20,0.0,0.0,0.0,0.0,0.0
A,adaptive,recoveries,20,0.0,0.0,0.0,0.0,0.0
B,baseline,pdr_percent,20,97.0983255,96.795681,97.257677,96.089136,98.313791
