scenario,metric,adaptive_lower,equal,adaptive_higher
A,pdr_percent,0,20,0
A,min_flow_pdr_percent,0,20,0
A,delay_p95_ms,0,20,0
A,goodput_kbps,0,20,0
A,normalized_overhead,0,20,0
A,recovery_seconds,0,20,0
A,next_hop_changes,0,20,0
A,route_unavailable_samples,0,20,0
B,pdr_percent,10,6,4
B,min_flow_pdr_percent,8,8,4
B,delay_p95_ms,2,12,6
B,goodput_kbps,10,6,4
B,normalized_overhead,0,0,20
B,recovery_seconds,1,19,0
B,next_hop_changes,3,12,5
B,route_unavailable_samples,0,18,2
C,pdr_percent,7,4,9
C,min_flow_pdr_percent,6,5,9
C,delay_p95_ms,2,15,3
C,goodput_kbps,7,4,9
C,normalized_overhead,0,0,20
C,recovery_seconds,6,11,3
C,next_hop_changes,4,11,5
C,route_unavailable_samples,0,20,0
