scenario,metric,n_pairs,mean_difference,mean_ci95_low,mean_ci95_high,median_difference,median_ci95_low,median_ci95_high,q1,q3,min,max,bootstrap_samples,bootstrap_seed
A,pdr_percent,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,50000,20260920
A,min_flow_pdr_percent,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,50000,20260920
A,delay_p95_ms,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,50000,20260920
A,goodput_kbps,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,50000,20260920
A,normalized_overhead,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,50000,20260920
A,recovery_seconds,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,50000,20260920
A,next_hop_changes,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,50000,20260920
A,route_unavailable_samples,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,50000,20260920
B,pdr_percent,20,0.056945500,-0.119378890,0.312319022,-0.005560000,-0.022300000,0.000000000,-0.022306500,0.000000000,-0.546204000,2.106822000,50000,20260920
B,min_flow_pdr_percent,20,0.094738350,-0.251662747,0.539310885,0.000000000,-0.033400000,0.000000000,-0.044501250,0.000000000,-1.808470000,3.486739000,50000,20260920
B,delay_p95_ms,20,0.200000000,-0.050000000,0.450000000,0.000000000,0.000000000,0.500000000,0.000000000,1.000000000,-1.000000000,1.000000000,50000,20260920
B,goodput_kbps,20,-0.091022150,-1.260657750,1.140053450,-0.022755500,-0.091022000,0.000000000,-0.091022000,0.000000000,-7.918933000,8.419556000,50000,20260920
B,normalized_overhead,20,0.002517600,0.002102000,0.002945950,0.002540500,0.001667000,0.003178500,0.001526750,0.003275000,0.001273000,0.004224000,50000,20260920
B,recovery_seconds,20,-0.050000000,-0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,0.000000000,50000,20260920
B,next_hop_changes,20,-0.100000000,-0.850000000,0.550000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,-5.000000000,2.000000000,50000,20260920
B,route_unavailable_samples,20,0.600000000,0.000000000,1.750000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,11.000000000,50000,20260920
C,pdr_percent,20,-0.658797750,-2.776978405,0.604391263,0.000000000,-0.007198500,0.278592500,-0.011137500,0.312032000,-19.173811000,3.405079000,50000,20260920
C,min_flow_pdr_percent,20,-1.289942600,-5.294987896,1.115103298,0.000000000,-0.006550500,0.557182500,-0.015390000,0.578808250,-36.312575000,6.693441000,50000,20260920
C,delay_p95_ms,20,0.000000000,-0.300000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.000000000,1.000000000,50000,20260920
C,goodput_kbps,20,-2.730666750,-11.373226654,2.393884350,0.000000000,-0.045511500,1.137777500,-0.056889500,1.274311250,-78.370133000,13.607822000,50000,20260920
C,normalized_overhead,20,0.001291600,0.001009300,0.001781000,0.001107500,0.001059500,0.001132000,0.001058500,0.001140250,0.000509000,0.005636000,50000,20260920
C,recovery_seconds,20,1.100000000,-0.750000000,4.250000000,0.000000000,-0.500000000,0.000000000,-1.000000000,0.000000000,-4.000000000,29.000000000,50000,20260920
C,next_hop_changes,20,0.050000000,-0.700000000,0.750000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,-4.000000000,3.000000000,50000,20260920
C,route_unavailable_samples,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,50000,20260920
