second,rx_packets,flow_0_rx_packets,flow_1_rx_packets
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,80,46,34
21,98,49,49
22,101,51,50
23,100,50,50
24,100,50,50
25,100,50,50
26,100,50,50
27,100,50,50
28,100,50,50
29,100,50,50
30,100,50,50
31,98,49,49
32,100,50,50
33,99,50,49
34,99,50,49
35,100,49,51
36,101,51,50
37,99,50,49
38,100,50,50
39,100,50,50
40,99,50,49
41,100,50,50
42,99,50,49
43,100,50,50
44,99,50,49
45,99,50,49
46,100,50,50
47,100,50,50
48,100,50,50
49,100,50,50
50,100,50,50
51,100,50,50
52,100,50,50
53,97,48,49
54,100,50,50
55,100,50,50
56,99,50,49
57,100,50,50
58,100,50,50
59,100,50,50
60,50,0,50
61,50,0,50
62,50,0,50
63,50,0,50
64,33,10,23
65,50,50,0
66,50,50,0
67,49,49,0
68,51,51,0
69,50,50,0
70,50,50,0
71,50,50,0
72,50,50,0
73,50,50,0
74,50,50,0
75,50,50,0
76,52,49,3
77,50,50,0
78,50,50,0
79,50,50,0
80,50,50,0
81,50,50,0
82,50,50,0
83,50,50,0
84,50,50,0
85,50,50,0
86,50,50,0
87,50,50,0
88,50,50,0
89,50,50,0
90,50,50,0
91,50,50,0
92,50,50,0
93,50,50,0
94,50,50,0
95,50,50,0
96,99,50,49
97,100,50,50
98,92,50,42
99,100,50,50
100,97,50,47
101,98,50,48
102,73,50,23
103,50,50,0
104,50,50,0
105,50,50,0
106,50,50,0
107,50,50,0
108,95,50,45
109,100,50,50
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
