second,rx_packets,flow_0_rx_packets,flow_1_rx_packets
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,80,46,34
21,98,49,49
22,101,51,50
23,100,50,50
24,100,50,50
25,100,50,50
26,100,50,50
27,100,50,50
28,100,50,50
29,100,50,50
30,100,50,50
31,98,49,49
32,100,50,50
33,99,50,49
34,99,50,49
35,100,49,51
36,101,51,50
37,99,50,49
38,100,50,50
39,100,50,50
40,99,50,49
41,100,50,50
42,99,50,49
43,100,50,50
44,99,50,49
45,99,50,49
46,100,50,50
47,100,50,50
48,100,50,50
49,100,50,50
50,100,50,50
51,100,50,50
52,100,50,50
53,97,48,49
54,100,50,50
55,100,50,50
56,99,50,49
57,100,50,50
58,100,50,50
59,100,50,50
60,50,0,50
61,50,0,50
62,50,0,50
63,50,0,50
64,33,10,23
65,50,50,0
66,79,50,29
67,99,49,50
68,99,49,50
69,99,49,50
70,100,50,50
71,100,50,50
72,99,50,49
73,100,50,50
74,99,49,50
75,100,50,50
76,90,47,43
77,99,49,50
78,100,50,50
79,99,49,50
80,101,51,50
81,99,50,49
82,98,50,48
83,98,50,48
84,99,50,49
85,98,50,48
86,96,50,46
87,100,50,50
88,99,50,49
89,98,50,48
90,100,50,50
91,100,50,50
92,99,50,49
93,100,50,50
94,99,50,49
95,100,50,50
96,99,50,49
97,100,50,50
98,100,50,50
99,99,50,49
100,98,50,48
101,100,50,50
102,96,50,46
103,99,50,49
104,97,50,47
105,99,50,49
106,99,50,49
107,99,50,49
108,94,45,49
109,103,53,50
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
