scenario,variant,omitted_run,mean_pdr_difference
C,full_adaptive,101,-0.678224316
C,full_adaptive,102,0.315676632
C,full_adaptive,103,-0.694056421
C,full_adaptive,104,-0.872686000
C,full_adaptive,105,-0.747948105
C,full_adaptive,106,-0.713436421
C,full_adaptive,107,-0.702847842
C,full_adaptive,108,-0.692884895
C,full_adaptive,109,-0.692885211
C,full_adaptive,110,-0.693471316
C,full_adaptive,111,-0.693471316
C,full_adaptive,112,-0.693471316
C,full_adaptive,113,-0.693471316
C,full_adaptive,114,-0.692299632
C,full_adaptive,115,-0.732209895
C,full_adaptive,116,-0.667654263
C,full_adaptive,117,-0.693299684
C,full_adaptive,118,-0.707554895
C,full_adaptive,119,-0.721045526
C,full_adaptive,120,-0.708713263
C,detection_only,101,0.000000000
C,detection_only,102,0.000000000
C,detection_only,103,0.000000000
C,detection_only,104,0.000000000
C,detection_only,105,0.000000000
C,detection_only,106,0.000000000
C,detection_only,107,0.000000000
C,detection_only,108,0.000000000
C,detection_only,109,0.000000000
C,detection_only,110,0.000000000
C,detection_only,111,0.000000000
C,detection_only,112,0.000000000
C,detection_only,113,0.000000000
C,detection_only,114,0.000000000
C,detection_only,115,0.000000000
C,detection_only,116,0.000000000
C,detection_only,117,0.000000000
C,detection_only,118,0.000000000
C,detection_only,119,0.000000000
C,detection_only,120,0.000000000
C,hello_only,101,-0.678224316
C,hello_only,102,0.315676632
C,hello_only,103,-0.694056421
C,hello_only,104,-0.872686000
C,hello_only,105,-0.747948105
C,hello_only,106,-0.713436421
C,hello_only,107,-0.702847842
C,hello_only,108,-0.692884895
C,hello_only,109,-0.692885211
C,hello_only,110,-0.693471316
C,hello_only,111,-0.693471316
C,hello_only,112,-0.693471316
C,hello_only,113,-0.693471316
C,hello_only,114,-0.692299632
C,hello_only,115,-0.732209895
C,hello_only,116,-0.667654263
C,hello_only,117,-0.693299684
C,hello_only,118,-0.707554895
C,hello_only,119,-0.721045526
C,hello_only,120,-0.708713263
C,tc_only,101,0.123012053
C,tc_only,102,0.123012053
C,tc_only,103,0.123012053
C,tc_only,104,0.123012053
C,tc_only,105,0.000000000
C,tc_only,106,0.123012053
C,tc_only,107,0.123012053
C,tc_only,108,0.123012053
C,tc_only,109,0.123012053
C,tc_only,110,0.123012053
C,tc_only,111,0.123012053
C,tc_only,112,0.123012053
C,tc_only,113,0.123012053
C,tc_only,114,0.123012053
C,tc_only,115,0.123012053
C,tc_only,116,0.123012053
C,tc_only,117,0.123012053
C,tc_only,118,0.123012053
C,tc_only,119,0.123012053
C,tc_only,120,0.123012053
C,failure20,101,0.471566579
C,failure20,102,0.403576632
C,failure20,103,0.455734474
C,failure20,104,0.277104895
C,failure20,105,0.320392158
C,failure20,106,0.436354474
C,failure20,107,0.441082737
C,failure20,108,0.456906000
C,failure20,109,0.456905684
C,failure20,110,0.455147000
C,failure20,111,0.457490053
C,failure20,112,0.456319579
C,failure20,113,0.456319579
C,failure20,114,0.457491263
C,failure20,115,0.416994053
C,failure20,116,0.482136632
C,failure20,117,0.456491211
C,failure20,118,0.442236000
C,failure20,119,0.428745368
C,failure20,120,0.441077632
C,failure80,101,0.000000000
C,failure80,102,0.000000000
C,failure80,103,0.000000000
C,failure80,104,0.000000000
C,failure80,105,0.000000000
C,failure80,106,0.000000000
C,failure80,107,0.000000000
C,failure80,108,0.000000000
C,failure80,109,0.000000000
C,failure80,110,0.000000000
C,failure80,111,0.000000000
C,failure80,112,0.000000000
C,failure80,113,0.000000000
C,failure80,114,0.000000000
C,failure80,115,0.000000000
C,failure80,116,0.000000000
C,failure80,117,0.000000000
C,failure80,118,0.000000000
C,failure80,119,0.000000000
C,failure80,120,0.000000000
B,signal78,101,1.085164263
B,signal78,102,1.108096474
B,signal78,103,1.619678158
B,signal78,104,1.103836947
B,signal78,105,1.087236895
B,signal78,106,1.086808158
B,signal78,107,1.092976474
B,signal78,108,1.069917263
B,signal78,109,1.056499421
B,signal78,110,1.089289895
B,signal78,111,1.080676000
B,signal78,112,1.200144053
B,signal78,113,1.152767053
B,signal78,114,1.064171158
B,signal78,115,1.105034211
B,signal78,116,1.160253947
B,signal78,117,1.057505316
B,signal78,118,1.071224737
B,signal78,119,1.078912526
B,signal78,120,1.086369053
B,full_adaptive,101,0.059942632
B,full_adaptive,102,0.084957474
B,full_adaptive,103,0.061112895
B,full_adaptive,104,-0.050942737
B,full_adaptive,105,0.065350684
B,full_adaptive,106,0.061117053
B,full_adaptive,107,0.075765526
B,full_adaptive,108,0.059942632
B,full_adaptive,109,0.059942632
B,full_adaptive,110,0.045871579
B,full_adaptive,111,0.060527895
B,full_adaptive,112,0.059942632
B,full_adaptive,113,0.059942632
B,full_adaptive,114,0.058771000
B,full_adaptive,115,0.061116526
B,full_adaptive,116,0.061116105
B,full_adaptive,117,0.045270579
B,full_adaptive,118,0.060529421
B,full_adaptive,119,0.088690211
B,full_adaptive,120,0.059942632
B,signal84,101,-1.402971000
B,signal84,102,0.055663895
B,signal84,103,-1.402971000
B,signal84,104,-1.402971000
B,signal84,105,-1.431673789
B,signal84,106,-1.402971000
B,signal84,107,-1.402971000
B,signal84,108,-1.403557474
B,signal84,109,-1.403557105
B,signal84,110,-1.431699421
B,signal84,111,-1.403556263
B,signal84,112,-1.402971000
B,signal84,113,-1.402971000
B,signal84,114,-1.404142632
B,signal84,115,-1.387710368
B,signal84,116,-1.402384263
B,signal84,117,-1.414708684
B,signal84,118,-1.402971000
B,signal84,119,-1.401797632
B,signal84,120,-1.403557263
