scenario,variant,metric,n_pairs,mean_difference,mean_ci95_low,mean_ci95_high,median_difference,median_ci95_low,median_ci95_high,adaptive_lower,equal,adaptive_higher
C,full_adaptive,pdr_percent,20,-0.658797750,-2.781863689,0.609050996,0.000000000,-0.007198500,0.278592500,7,4,9
C,full_adaptive,min_flow_pdr_percent,20,-1.289942600,-5.312072686,1.115206695,0.000000000,-0.006550500,0.557182500,6,5,9
C,full_adaptive,delay_p95_ms,20,0.000000000,-0.300000000,0.250000000,0.000000000,0.000000000,0.000000000,2,15,3
C,full_adaptive,goodput_kbps,20,-2.730666750,-11.386880001,2.396159800,0.000000000,-0.045511500,1.137777500,7,4,9
C,full_adaptive,normalized_overhead,20,0.001291600,0.001009100,0.001780050,0.001107500,0.001059500,0.001132000,0,0,20
C,full_adaptive,recovery_seconds,20,1.100000000,-0.750000000,4.250000000,0.000000000,-0.500000000,0.000000000,6,11,3
C,full_adaptive,next_hop_changes,20,0.050000000,-0.700000000,0.750000000,0.000000000,0.000000000,0.000000000,4,11,5
C,detection_only,pdr_percent,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,detection_only,min_flow_pdr_percent,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,detection_only,delay_p95_ms,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,detection_only,goodput_kbps,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,detection_only,normalized_overhead,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,detection_only,recovery_seconds,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,detection_only,next_hop_changes,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,hello_only,pdr_percent,20,-0.658797750,-2.783822795,0.600218425,0.000000000,-0.007198500,0.278592500,7,4,9
C,hello_only,min_flow_pdr_percent,20,-1.289942600,-5.294886762,1.120205689,0.000000000,-0.006550500,0.557182500,6,5,9
C,hello_only,delay_p95_ms,20,0.000000000,-0.300000000,0.250000000,0.000000000,0.000000000,0.000000000,2,15,3
C,hello_only,goodput_kbps,20,-2.730666750,-11.359573302,2.405319035,0.000000000,-0.045511500,1.137777500,7,4,9
C,hello_only,normalized_overhead,20,0.001291600,0.001008250,0.001779151,0.001107500,0.001059500,0.001132000,0,0,20
C,hello_only,recovery_seconds,20,1.100000000,-0.750000000,4.250000000,0.000000000,-0.500000000,0.000000000,6,11,3
C,hello_only,next_hop_changes,20,0.050000000,-0.700000000,0.750000000,0.000000000,0.000000000,0.000000000,4,11,5
C,tc_only,pdr_percent,20,0.116861450,0.000000000,0.350584350,0.000000000,0.000000000,0.000000000,0,19,1
C,tc_only,min_flow_pdr_percent,20,0.077881600,0.000000000,0.233644800,0.000000000,0.000000000,0.000000000,0,19,1
C,tc_only,delay_p95_ms,20,-0.050000000,-0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,1,19,0
C,tc_only,goodput_kbps,20,0.477866650,0.000000000,1.433599950,0.000000000,0.000000000,0.000000000,0,19,1
C,tc_only,normalized_overhead,20,-0.000011000,-0.000045300,0.000012300,0.000000000,0.000000000,0.000000000,1,18,1
C,tc_only,recovery_seconds,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,tc_only,next_hop_changes,20,-0.300000000,-0.900000000,0.000000000,0.000000000,0.000000000,0.000000000,1,19,0
C,failure20,pdr_percent,20,0.433503600,0.082361012,0.883805634,0.016698000,-0.007198500,0.334467000,7,2,11
C,failure20,min_flow_pdr_percent,20,0.584743550,0.044059926,1.356675809,0.011116000,-0.017674000,0.579324500,7,3,10
C,failure20,delay_p95_ms,20,0.200000000,0.050000000,0.400000000,0.000000000,0.000000000,0.000000000,0,16,4
C,failure20,goodput_kbps,20,1.558755400,0.293546650,3.215359802,0.068266500,-0.045511500,1.365333500,7,2,11
C,failure20,normalized_overhead,20,0.001082350,0.001003550,0.001144700,0.001117000,0.001086000,0.001140000,0,0,20
C,failure20,recovery_seconds,20,-0.450000000,-0.950000000,-0.050000000,0.000000000,-1.000000000,0.000000000,7,11,2
C,failure20,next_hop_changes,20,0.050000000,-0.500000000,0.600000000,0.000000000,0.000000000,0.000000000,4,12,4
C,failure80,pdr_percent,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,failure80,min_flow_pdr_percent,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,failure80,delay_p95_ms,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,failure80,goodput_kbps,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,failure80,normalized_overhead,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,failure80,recovery_seconds,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
C,failure80,next_hop_changes,20,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,20,0
B,signal78,pdr_percent,20,1.122828100,-0.017838793,1.838664674,1.803134000,1.472286000,1.940471000,2,0,18
B,signal78,min_flow_pdr_percent,20,2.575982400,0.410432285,3.923601785,3.691820500,3.375099500,4.252245000,2,0,18
B,signal78,delay_p95_ms,20,1.850000000,1.300000000,2.450000000,1.500000000,1.000000000,2.000000000,0,1,19
B,signal78,goodput_kbps,20,4.111928950,-0.771413350,7.397831052,6.849422500,5.939200000,7.691378500,3,0,17
B,signal78,normalized_overhead,20,0.048785200,0.047876400,0.049898610,0.048428000,0.047610000,0.049318500,0,0,20
B,signal78,recovery_seconds,20,1.600000000,0.148750000,4.000000000,0.000000000,0.000000000,0.000000000,1,14,5
B,signal78,next_hop_changes,20,11.350000000,8.750000000,14.700000000,10.000000000,8.000000000,12.500000000,0,0,20
B,full_adaptive,pdr_percent,20,0.056945500,-0.118053581,0.313511447,-0.005560000,-0.022300000,0.000000000,10,6,4
B,full_adaptive,min_flow_pdr_percent,20,0.094738350,-0.255776564,0.537587390,0.000000000,-0.033400000,0.000000000,8,8,4
B,full_adaptive,delay_p95_ms,20,0.200000000,-0.050000000,0.450000000,0.000000000,0.000000000,0.500000000,2,12,6
B,full_adaptive,goodput_kbps,20,-0.091022150,-1.272035550,1.128675650,-0.022755500,-0.091022000,0.000000000,10,6,4
B,full_adaptive,normalized_overhead,20,0.002517600,0.002098647,0.002939563,0.002540500,0.001667000,0.003178500,0,0,20
B,full_adaptive,recovery_seconds,20,-0.050000000,-0.150000000,0.000000000,0.000000000,0.000000000,0.000000000,1,19,0
B,full_adaptive,next_hop_changes,20,-0.100000000,-0.850000000,0.550000000,0.000000000,0.000000000,0.000000000,3,12,5
B,signal84,pdr_percent,20,-1.332822450,-4.145966211,0.120311665,0.000000000,0.000000000,0.011137500,4,8,8
B,signal84,min_flow_pdr_percent,20,-2.732158200,-8.494270258,0.241933454,0.000000000,0.000000000,0.011123500,3,11,6
B,signal84,delay_p95_ms,20,-0.050000000,-0.350000000,0.200000000,0.000000000,0.000000000,0.000000000,2,16,2
B,signal84,goodput_kbps,20,-5.447679900,-16.950613250,0.493795650,0.000000000,0.000000000,0.045511000,4,8,8
B,signal84,normalized_overhead,20,0.001532550,0.001042849,0.002355653,0.001237000,0.001172000,0.001255500,0,1,19
B,signal84,recovery_seconds,20,-0.150000000,-0.450000000,0.000000000,0.000000000,0.000000000,0.000000000,1,19,0
B,signal84,next_hop_changes,20,-0.600000000,-1.450000000,0.000000000,0.000000000,0.000000000,0.000000000,5,13,2
