scenario,variant,run,tx_packets,rx_packets,lost_packets,pdr_percent,min_flow_pdr_percent,mean_delay_ms,delay_p50_ms,delay_p95_ms,goodput_kbps,olsr_control_packets,olsr_control_bytes,normalized_overhead,recovery_seconds,next_hop_changes,route_unavailable_samples,signal_transitions,failure_transitions,recoveries,disrupted_node
C,detection_only,101,8975,8751,224,97.504178,95.001116,1.989394,2.000000,2.000000,398.267733,788,74684,0.016669,5.000000,1,0,0,1,0,9
C,hello_only,101,8975,8725,250,97.214485,94.420888,2.174083,2.000000,2.000000,397.084444,860,79676,0.017836,5.000000,1,0,0,1,0,9
C,tc_only,101,8975,8751,224,97.504178,95.001116,1.989394,2.000000,2.000000,398.267733,788,74684,0.016669,5.000000,1,0,0,1,0,9
C,failure20,101,8975,8725,250,97.214485,94.420888,2.174083,2.000000,2.000000,397.084444,860,79676,0.017836,5.000000,1,0,0,1,0,9
C,failure80,101,8975,8751,224,97.504178,95.001116,1.989394,2.000000,2.000000,398.267733,788,74684,0.016669,5.000000,1,0,0,0,0,9
B,signal78,101,8975,8853,122,98.640669,97.991520,2.812513,2.000000,4.000000,402.909867,2841,290004,0.063980,0.000000,12,0,15,0,0,9
B,signal84,101,8975,8688,287,96.802228,93.595180,2.030584,2.000000,3.000000,395.400533,874,82248,0.018490,0.000000,4,0,0,1,0,9
C,detection_only,102,8981,8578,403,95.512749,94.372776,10.527038,9.000000,20.000000,390.394311,835,76524,0.017424,7.000000,3,0,0,1,0,6
C,hello_only,102,8981,6856,2125,76.338938,58.060201,8.853271,8.000000,18.000000,312.024178,896,80948,0.023060,36.000000,6,0,0,1,0,6
C,tc_only,102,8981,8578,403,95.512749,94.372776,10.527038,9.000000,20.000000,390.394311,835,76524,0.017424,7.000000,3,0,0,1,0,6
C,failure20,102,8981,8668,313,96.514865,94.016904,25.646255,9.000000,21.000000,394.490311,927,83188,0.018744,5.000000,5,0,0,2,0,6
C,failure80,102,8981,8578,403,95.512749,94.372776,10.527038,9.000000,20.000000,390.394311,835,76524,0.017424,7.000000,3,0,0,0,0,6
B,signal78,102,8804,8604,200,97.728305,97.653224,11.496869,9.000000,24.000000,391.577600,3093,312584,0.070957,0.000000,44,14,16,0,0,9
B,signal84,102,8981,6162,2819,68.611513,37.544484,6.154549,5.000000,17.000000,280.439467,929,84824,0.026886,-2.000000,1,0,0,1,0,6
C,detection_only,103,8995,8706,289,96.787104,94.642063,2.681317,2.000000,2.000000,396.219733,839,76936,0.017260,5.000000,2,0,0,1,0,9
C,hello_only,103,8995,8707,288,96.798221,94.664295,2.678577,2.000000,2.000000,396.265244,911,81852,0.018361,5.000000,2,0,0,1,0,9
C,tc_only,103,8995,8706,289,96.787104,94.642063,2.683783,2.000000,2.000000,396.219733,851,77300,0.017342,5.000000,2,0,0,1,0,9
C,failure20,103,8995,8707,288,96.798221,94.664295,2.678577,2.000000,2.000000,396.265244,911,81852,0.018361,5.000000,2,0,0,1,0,9
C,failure80,103,8995,8706,289,96.787104,94.642063,2.681317,2.000000,2.000000,396.219733,839,76936,0.017260,5.000000,2,0,0,0,0,9
B,signal78,103,8968,7924,1044,88.358608,78.897042,2.484674,2.000000,3.000000,360.630044,2996,301364,0.074281,21.000000,7,2,16,0,0,9
B,signal84,103,8995,8696,299,96.675931,94.419742,2.345671,2.000000,3.000000,395.764622,938,85080,0.019109,0.000000,2,0,0,1,0,9
C,detection_only,104,8781,8223,558,93.645371,88.621151,8.479489,8.000000,19.000000,374.237867,784,74996,0.017813,8.000000,11,15,0,1,0,6
C,hello_only,104,8781,8522,259,97.050450,95.314592,10.053471,8.000000,20.000000,387.845689,856,79944,0.018322,4.000000,9,15,0,1,0,6
C,tc_only,104,8781,8223,558,93.645371,88.621151,8.479489,8.000000,19.000000,374.237867,784,74996,0.017813,8.000000,11,15,0,1,0,6
C,failure20,104,8781,8522,259,97.050450,95.314592,10.053471,8.000000,20.000000,387.845689,856,79944,0.018322,4.000000,9,15,0,1,0,6
C,failure80,104,8781,8223,558,93.645371,88.621151,8.479489,8.000000,19.000000,374.237867,784,74996,0.017813,8.000000,11,15,0,0,0,6
B,signal78,104,8939,8810,129,98.556886,98.370536,10.461716,8.000000,21.000000,400.952889,2942,301916,0.066933,0.000000,24,2,16,0,0,6
B,signal84,104,8781,8524,257,97.073226,95.024543,8.419891,8.000000,19.000000,387.936711,809,78140,0.017904,0.000000,8,15,0,0,0,6
C,detection_only,105,8985,8531,454,94.947134,93.079662,5.770413,2.000000,3.000000,388.255289,819,75668,0.017324,5.000000,7,0,0,1,0,6
C,hello_only,105,8985,8624,361,95.982193,93.524700,3.604540,2.000000,2.000000,392.487822,888,80464,0.018223,6.000000,3,0,0,1,0,6
C,tc_only,105,8985,8741,244,97.284363,94.637294,2.040566,2.000000,2.000000,397.812622,830,76180,0.017022,5.000000,1,0,0,1,0,6
C,failure20,105,8906,8686,220,97.529755,95.016988,2.390727,2.000000,3.000000,395.309511,887,80800,0.018169,6.000000,5,7,0,1,0,6
C,failure80,105,8985,8531,454,94.947134,93.079662,5.770413,2.000000,3.000000,388.255289,819,75668,0.017324,5.000000,7,0,0,0,0,6
B,signal78,105,8960,8833,127,98.582589,97.158201,2.661307,2.000000,3.000000,401.999644,2938,296232,0.065502,5.000000,6,2,16,0,0,6
B,signal84,105,8985,8745,240,97.328881,94.659546,2.012919,2.000000,2.000000,397.994667,918,84128,0.018789,0.000000,1,0,0,1,0,6
C,detection_only,106,8963,8683,280,96.876046,93.754182,2.508253,2.000000,2.000000,395.172978,778,74392,0.016733,6.000000,1,0,0,1,0,9
C,hello_only,106,8963,8717,246,97.255383,94.512603,1.982081,2.000000,2.000000,396.720356,851,79400,0.017790,5.000000,1,0,0,1,0,9
C,tc_only,106,8963,8683,280,96.876046,93.754182,2.508253,2.000000,2.000000,395.172978,778,74392,0.016733,6.000000,1,0,0,1,0,9
C,failure20,106,8963,8717,246,97.255383,94.512603,1.982081,2.000000,2.000000,396.720356,851,79400,0.017790,5.000000,1,0,0,1,0,9
C,failure80,106,8963,8683,280,96.876046,93.754182,2.508253,2.000000,2.000000,395.172978,778,74392,0.016733,6.000000,1,0,0,0,0,9
B,signal78,106,8961,8871,90,98.995648,98.460165,3.375839,2.000000,3.000000,403.729067,2873,292396,0.064377,0.000000,11,0,16,0,0,9
B,signal84,106,8963,8711,252,97.188441,94.378764,1.986117,2.000000,2.000000,396.447289,871,82172,0.018424,0.000000,1,0,0,1,0,9
C,detection_only,107,8981,8714,267,97.027057,94.083630,2.207146,2.000000,2.000000,396.583822,813,75432,0.016907,6.000000,4,0,0,1,0,9
C,hello_only,107,8981,8730,251,97.205211,94.661922,2.377531,2.000000,2.000000,397.312000,883,80308,0.017967,5.000000,2,0,0,1,0,9
C,tc_only,107,8981,8714,267,97.027057,94.083630,2.207146,2.000000,2.000000,396.583822,813,75432,0.016907,6.000000,4,0,0,1,0,9
C,failure20,107,8981,8740,241,97.316557,94.661922,2.025106,2.000000,2.000000,397.767111,886,80552,0.018001,5.000000,2,0,0,1,0,9
C,failure80,107,8981,8714,267,97.027057,94.083630,2.207146,2.000000,2.000000,396.583822,813,75432,0.016907,6.000000,4,0,0,0,0,9
B,signal78,107,8960,8866,94,98.950893,97.953737,3.190858,2.000000,4.000000,403.501511,2968,300328,0.066160,0.000000,12,2,16,0,0,9
B,signal84,107,8981,8735,246,97.260884,94.572954,2.014132,2.000000,2.000000,397.539556,900,83220,0.018608,0.000000,2,0,0,1,0,9
C,detection_only,108,8975,8719,256,97.147632,94.309306,3.062112,2.000000,2.000000,396.811378,791,74960,0.016792,4.000000,3,0,0,1,0,6
C,hello_only,108,8975,8718,257,97.136490,94.309306,3.141337,2.000000,2.000000,396.765867,866,80008,0.017924,4.000000,3,0,0,1,0,6
C,tc_only,108,8975,8719,256,97.147632,94.309306,3.062112,2.000000,2.000000,396.811378,791,74960,0.016792,4.000000,3,0,0,1,0,6
C,failure20,108,8975,8718,257,97.136490,94.309306,3.141337,2.000000,2.000000,396.765867,866,80008,0.017924,4.000000,3,0,0,1,0,6
C,failure80,108,8975,8719,256,97.147632,94.309306,3.062112,2.000000,2.000000,396.811378,791,74960,0.016792,4.000000,3,0,0,0,0,6
B,signal78,108,8975,8815,160,98.217270,96.920330,2.958845,2.000000,4.000000,401.180444,2893,297724,0.065966,0.000000,10,0,16,0,0,6
B,signal84,108,8975,8625,350,96.100279,92.256193,3.111588,2.000000,2.000000,392.533333,880,82828,0.018756,0.000000,3,0,0,1,0,6
C,detection_only,109,8980,8735,245,97.271715,94.538564,2.001452,2.000000,2.000000,397.539556,788,74680,0.016698,5.000000,3,0,0,1,0,6
C,hello_only,109,8980,8734,246,97.260579,94.516273,2.016257,2.000000,2.000000,397.494044,860,79672,0.017817,5.000000,3,0,0,1,0,6
C,tc_only,109,8980,8735,245,97.271715,94.538564,2.001452,2.000000,2.000000,397.539556,788,74680,0.016698,5.000000,3,0,0,1,0,6
C,failure20,109,8980,8734,246,97.260579,94.516273,2.016257,2.000000,2.000000,397.494044,860,79672,0.017817,5.000000,3,0,0,1,0,6
C,failure80,109,8980,8735,245,97.271715,94.538564,2.001452,2.000000,2.000000,397.539556,788,74680,0.016698,5.000000,3,0,0,0,0,6
B,signal78,109,8980,8922,58,99.354120,98.707089,2.833197,2.000000,3.000000,406.050133,2835,290800,0.063659,0.000000,16,0,16,0,0,9
B,signal84,109,8980,8709,271,96.982183,93.958984,2.049755,2.000000,3.000000,396.356267,883,82644,0.018534,0.000000,3,0,0,1,0,6
C,detection_only,110,8977,8739,238,97.348780,94.683940,1.995952,2.000000,2.000000,397.721600,830,76272,0.017046,5.000000,1,0,0,1,0,6
C,hello_only,110,8977,8739,238,97.348780,94.683940,1.999980,2.000000,2.000000,397.721600,899,81036,0.018111,5.000000,1,0,0,1,0,6
